count,pk,relevance,state,grade,year,type,domain,grasp,group,old_pk,title,method,covid19,objectives,coi,funding,comment,url,review_url
1,SR0001US23,5,Analysed,B+,2023,Article,Both,90%,5,x034,Artificial Intelligence for Patient Scheduling in the Real-World Health Care Setting: A Metanarrative Review,not specified,1,not specified,Not mentioned,Not mentioned,RAMESES publication standards,https://doi.org/10.1016/j.hlpt.2023.100824,https://drive.google.com/file/d/1wbAdCvaoGtQI5B9cn7DfkgudKKb9hup6/view?usp=drive_link
2,SR0002US22,5,Analysed,A,2022,Article,Scheduler,95%,5,x079,Current Trends in Operating Room Scheduling 2015 to 2020: a Literature Review,Metanarrative review,0,not specified,Not mentioned,Not mentioned,Reviews cascade 2000-2020,https://doi.org/10.1007/s43069-022-00134-y,https://drive.google.com/file/d/1wbAdCvaoGtQI5B9cn7DfkgudKKb9hup6/view?usp=drive_link
3,SR0003GB23,5,Analysed,A,2023,Article,Analyser,94%,5,x084,Machine learning models to predict surgical case duration compared to current industry standards: scoping review,Scoping review,1,Compare the novel machine learning approaches for predicting surgical case duration to present industry standards.,Not mentioned,Not mentioned,"PRISMA, Arksey, and O’Malley",https://doi.org/10.1093/bjsopen/zrad113,https://drive.google.com/file/d/1wbAdCvaoGtQI5B9cn7DfkgudKKb9hup6/view?usp=drive_link
4,SR0004TN18,4,Analysed,F,2018,Article,Scheduler,80%,5,x104,Surgery case scheduling in a multistage operating room department: A literature review,not specified,0,not specified,Not mentioned,Not mentioned,Do not recommend,https://www.researchgate.net/publication/326265568_Surgery_case_scheduling_in_a_multistage_operating_room_department_A_literature_review,https://drive.google.com/file/d/1wbAdCvaoGtQI5B9cn7DfkgudKKb9hup6/view?usp=drive_link
5,SR0005GB23,4,Analysed,A,2023,Article,Both,87%,5,x122,Fractured systems: a literature review of OR/MS methods applied to orthopaedic care settings and treatments,not specified,1,The aim is to quantify and taxonomise the current state of the OR/MS approaches implemented in orthopadic department.,None declared,Fully funded,Has advanced searching techniques,https://doi.org/10.1080/20476965.2023.2264348,https://drive.google.com/file/d/1wbAdCvaoGtQI5B9cn7DfkgudKKb9hup6/view?usp=drive_link
6,SR0007MY22,5,Analysed,B,2022,Article,Scheduler,90%,5,x236,AI for patient scheduling in the real-world health care setting: A metanarrative review,not specified,0,"The work aims to overview the papers in the field of Master Surgery Scheduling Problem, identify trends and address the existing research gaps.",Not mentioned,Not mentioned,Has solution evaluation methods,https://doi.org/10.1109/ACCESS.2022.3202546,https://drive.google.com/file/d/1wbAdCvaoGtQI5B9cn7DfkgudKKb9hup6/view?usp=drive_link
7,SR0008ES23,5,Analysed,C,2023,Article,Analyser,93%,5,x249,"Data science, analytics and artificial intelligence in e-health: trends, applications and challenges",not specified,1,not specified,Has CoI,Partially funded,Data preprocessing + NMF + Python,https://ddd.uab.cat/record/276042,https://drive.google.com/file/d/1wbAdCvaoGtQI5B9cn7DfkgudKKb9hup6/view?usp=drive_link
8,SR0009NL22,4,Analysed,B,2022,Article,Analyser,95%,5,x349,Healthcare related event prediction from textual data with machine learning: A Systematic Literature Review,Systematic review,1,Investigate a medical event prediction solution with textual data on the input.,Not mentioned,Not mentioned,Quality assessment method?,https://doi.org/10.1016/j.health.2022.100107,https://drive.google.com/file/d/1wbAdCvaoGtQI5B9cn7DfkgudKKb9hup6/view?usp=drive_link
9,SR0010NL23,5,Analysed,A,2023,Article,Both,96%,4,x338,Integrated Planning in Hospitals: A Review,Systematic & taxonomy review,1,Research the existing literature in scope of healthcare integrated planning.,Not mentioned,Fully funded,Health departments disconnection,https://doi.org/10.48550/arXiv.2307.05258,https://drive.google.com/file/d/1wbAdCvaoGtQI5B9cn7DfkgudKKb9hup6/view?usp=drive_link
10,SR0011NL12,4,Analysed,A,2012,Article,Both,94%,6,x029,Taxonomic classification of planning decisions in health care: a structured review of the state of the art in OR/MS,Structured & taxonomy review,0,Aim to guide healthcare professionals in the field of OR/ MS.,Not mentioned,Fully funded,Reach on definitions and descriptions,https://doi.org/10.1057/hs.2012.18,https://drive.google.com/file/d/1wbAdCvaoGtQI5B9cn7DfkgudKKb9hup6/view?usp=drive_link
