"Item type","Authors","Editors","Title","Journal","Publication year","Volume","Issue","Pages","Institution","Edition","Publisher","Address","Book title","Proceedings title","Conference location","Date published","Date accessed","ISBN","ISSN","ISSN (alt.)","URLs","DOI","PMID","Arxiv ID","Abstract","Keywords","Notes","Affiliation","Language","Sub-type","Series","Archive prefix","Eprint ID","Primary class","Pages cited","School","Version"
"Journal Article","Lin YK,Chou YY","","A hybrid genetic algorithm for operating room scheduling","Health Care Management Science","2020","23","2","249-263","","","","","","","","2020","","","","","https://doi.org/10.1007/s10729-019-09481-5;http://dx.doi.org/10.1007/s10729-019-09481-5","10.1007/s10729-019-09481-5","","","In this research, we studied operating room scheduling problem of assigning a set of surgeries to several multifunctional operating rooms. The objectives are to maximize the utilization of the operating rooms, to minimize the overtime-operating cost, and to minimize the wasting cost for the unused time. To begin with, a revised mathematical model is constructed to assign surgeries to operating rooms within one week. Then, we proposed four easy-to-implement heuristics that can guarantee to find feasible solutions for the studied problem efficiently. Furthermore, we presented four local search procedures that can improve a given solution significantly. Finally, a hybrid genetic algorithm (HGA) that incorporated with initial solutions, local search procedures and elite search procedure is applied to the studied problem. Computational results show that for small problem instances, the HGA can find near optimal solutions efficiently while for large problem instances, the HGA performs significantly better than the four proposed heuristics. We concluded that surgery schedules obtained by using HGA has less wasting cost for the unused time, much higher utilization of operating rooms, and produce less overtime-operating cost.","","","","","","","","","","","",""
"Journal Article","Naderi B,Roshanaei V,Begen MA,Aleman DM,Urbach DR","","Increased Surgical Capacity without Additional Resources: Generalized Operating Room Planning and Scheduling","Production and Operations Management","2021","30","8","2608-2635","","","","","","","","2021","","","","","https://onlinelibrary.wiley.com/doi/abs/10.1111/poms.13397;http://dx.doi.org/10.1111/poms.13397","10.1111/poms.13397","","","We study a generalized operating room planning and scheduling (GORPS) problem at the Toronto General Hospital (TGH) in Ontario, Canada. GORPS allocates elective patients and resources (i.e., operating rooms, surgeons, anesthetists) to days, assigns resources to patients, and sequences patients in each day. We consider patients' due-date, resource eligibility, heterogeneous performances of resources, downstream unit requirements, and lag times between resources. The goal is to create a weekly surgery schedule that minimizes fixed- and over-time costs. We model GORPS using mixed-integer and constraint programming models. To efficiently and effectively solve these models, we develop new` multi-featured logic-based Benders decomposition approaches. Using data from TGH, we demonstrate that our best algorithm solves GORPS with an average optimality gap of 2.71% which allows us to provide our practical recommendations. First, we can increase daily OR utilization to reach 80%---25% higher than the status quo in TGH. Second, we do not require to optimize for the daily selection of anesthetists---this finding allows for the development of effective dominance rules that significantly mitigate intractability. Third, solving GORPS without downstream capacities (like many papers in literature) makes GORPS easier to solve, but such OR schedules are only feasible in 24% of instances. Finally, with existing ORs' safety capacities, TGH can manage 40% increase in its surgical volumes. We provide recommendations on how TGH must adjust its downstream capacities for varying levels of surgical volume increases (e.g., current urgent need for more capacity due to the current Covid-19 pandemic).","Healthcare operations, planning and scheduling, operating rooms, multiple resources, performance heterogeneity, overtime, downstream capacities, logic-based Benders decomposition","","","","","","","https://onlinelibrary.wiley.com/doi/pdf/10.1111/poms.13397","","","",""
"Journal Article","Meliana IR,Purwoko P,Aisyati A,Piyandari Y,Rosyidi CN","","An Optimization Model and Decision Support System of Operating Room Scheduling in a Teaching Hospital","Journal of Applied Science and Engineering","2021","25","","883-891","","","Tamkang University Press","","","","","2021-12","","","1560-6686","","https://doi.org/10.6180/jase.202210_25(5).0003;http://dx.doi.org/10.6180/jase.202210_25(5).0003","10.6180/jase.202210_25(5).0003","","","Department of Surgery (DOS) contributes to a major portion of hospitals expenditures and revenues. The costs come from resources which are involved in a surgery. These resources must be used optimally through proper scheduling. Recently, there are still many hospitals schedule the operating rooms manually which will take relatively longer time. Whereas the scheduling of the operating room can be done through developing a mathematical model. We consider several aspects in the model of this research, including the number of operating rooms, working hours, the available number of anesthetic machines, and utilization of each room. We propose a mixed integer linear programming (MILP) model to solve the operating room scheduling problem and based on the model, a decision support system (DSS) is developed to allow the hospital generates a better schedule with a shorter time. The results of sensitivity shows that the model is sensitive to the changes of surgery duration and the available number of anesthetic machines.","Decision support system; Mixed Integer Linear Programming; Operating rooms; Scheduling","","","","","","","","","","",""
"Journal Article","Abbou B,Tal O,Frenkel G,Rubin R,Rappoport N","","Optimizing Operation Room Utilization - A Prediction Model","Big Data and Cognitive Computing","2022","6","3","","","","","","","","","2022","","","2504-2289","","https://www.mdpi.com/2504-2289/6/3/76;http://dx.doi.org/10.3390/bdcc6030076","10.3390/bdcc6030076","","","Background: Operating rooms are the core of hospitals. They are a primary source of revenue and are often seen as one of the bottlenecks in the medical system. Many efforts are made to increase throughput, reduce costs, and maximize incomes, as well as optimize clinical outcomes and patient satisfaction. We trained a predictive model on the length of surgeries to improve the productivity and utility of operative rooms in general hospitals. Methods: We collected clinical and administrative data for the last 10 years from two large general public hospitals in Israel. We trained a machine learning model to give the expected length of surgery using pre-operative data. These data included diagnoses, laboratory tests, risk factors, demographics, procedures, anesthesia type, and the main surgeon’s level of experience. We compared our model to a naïve model that represented current practice. Findings: Our prediction model achieved better performance than the naïve model and explained almost 70% of the variance in surgery durations. Interpretation: A machine learning-based model can be a useful approach for increasing operating room utilization. Among the most important factors were the type of procedures and the main surgeon’s level of experience. The model enables the harmonizing of hospital productivity through wise scheduling and matching suitable teams for a variety of clinical procedures for the benefit of the individual patient and the system as a whole.","","","","","","","","","","","",""
"Journal Article","Maghzi P,Mohammadi M,Pasandideh SH,Naderi B","","Operating Room Scheduling Optimization Based on a Fuzzy Uncertainty Approach and Metaheuristic Algorithms","International Journal of Engineering","2022","35","2","258-275","","","Materials and Energy Research Center","","","","","2022","","","1025-2495","","https://www.ije.ir/article_138841.html;http://dx.doi.org/10.5829/ije.2022.35.02b.01","10.5829/ije.2022.35.02b.01","","","Today, planning and scheduling problems are the most significant issues in the world and make a great impact on improving organizational productivity and serving systems such as medical and healthcare providers. Since operating room planning is a major problem in healthcare organizations, the optimization of medical staff and equipment plays an essential role. Thus, this study presents a multi-objective mathematical model with a new categorization (preoperative, intraoperative, and postoperative) to minimize operating room scheduling and the risk of using equipment. Time constraints in healthcare systems and medical equipment limited capacity are the most significant considered limitation in the present study. In this regard, since the duration of patient preparation and implementation of treatment processes occur in three states of optimistic, pessimistic, and normal, the introduced parameters are examined relying on a fuzzy uncertainty analysis of the problem. Hence, the model is measured in a real numerical solution sample in a medical center to evaluate and confirm the proposed mathematical model. Then, two meta-heuristic algorithms (NRGA and NSGAII) are implemented on the mathematical model to analyze the proposed model. Finally, the research results indicate that the NSGA-II is more efficient in the operating room scheduling problem.","Fuzzy Uncertainty Approach,Medical Center Planning,Medical staff and equipment optimization,Metaheuristic Algorithm,Operating Room Planning,scheduling","","","","","","","https://www.ije.ir/article_138841_c7792aca2ba07bf4b7f7a7fe029e5b5e.pdf","","","",""
"Journal Article","Rahimi I,Gandomi A","","A Comprehensive Review and Analysis of Operating Room and Surgery Scheduling","Archives of Computational Methods in Engineering","2020","28","","","","","","","","","","05 2020","","","","","http://dx.doi.org/10.1007/s11831-020-09432-2","10.1007/s11831-020-09432-2","","","","","","","","","","","","","","",""
"Journal Article","Wall MB","","A Genetic Algorithm for Resource-constrained Scheduling","","1996","","","","","","Massachusetts Institute of Technology, Department of Mechanical Engineering","","","","","1996","","","","","https://books.google.com.ua/books?id=BwmyNwAACAAJ","","","","","","","","","","","","","","","",""
"Journal Article","Schock G,Blickensderfer B","","Operating Room Turnover Time: Definitions and Future Research Needs","Proceedings of the Human Factors and Ergonomics Society Annual Meeting","2019","63","1","1927-1930","","","","","","","","2019","","","","","https://doi.org/10.1177/1071181319631301;http://dx.doi.org/10.1177/1071181319631301","10.1177/1071181319631301","","","One aspect of healthcare efficiency is operating room (OR) turnover time. OR turnover time is an area of high interest to hospital administration, however, limited Human Factors research exists on turnover time. The current paper describes OR turnover time and describes variables involved (e.g., tasks, procedures, personnel, and others). Next, research topics related to OR turnover time are described. This includes measuring turnover time, parallel processes, workflow layout, teamwork, and several other areas. Research gaps in these areas are discussed.","","","","","","","","https://doi.org/10.1177/1071181319631301","","","",""
"Journal Article","Tağtekin B,Öztürk M,Sezer M","","A Case Study: Using Genetic Algorithm for Job Scheduling Problem","Health and Technology","2021","11","","445-469","","","","","","","","06 2021","","","2190-7196","","https://doi.org/10.1007/s12553-021-00547-5;http://dx.doi.org/10.1007/s12553-021-00547-5","10.1007/s12553-021-00547-5","","","","","","","","","","","","","","",""
"Journal Article","Vinukondaiah K,Ananthakrishnan N,Ravishankar M","","Audit of operation theatre utilization in general surgery","Natl Med J India","2000","13","3","118-121","","","","Department of Surgery, Jawaharlal Institute of Postgraduate Medical Education and Research, Pondicherry 605006, India.","","","","May-Jun 2000","","","0970-258X","","https://www.ncbi.nlm.nih.gov/pubmed/11558108","","11558108","","BACKGROUND: The operation theatre complex of a hospital represents an area of considerable expenditure in a hospital budget and requires maximal utilization to ensure optimum cost-benefit. There is paucity of data in India on the use of available operating time and the reasons for less-than-optimal utilization have not been studied. METHODS: This audit was done prospectively over a period of 12 months in the department of general surgery, Jawaharlal Institute of Postgraduate Medical Education and Research, Pondicherry. Operation theatre utilization was studied with respect to the starting and closing of the operation theatre, interval between surgical procedures, cancellation of surgical procedures and reasons thereof. RESULTS: The operation theatre was functional for 279 days during the year of the study, and 1773 cases were operated (6.3 cases per day). The total operating time utilized was 91.5%. The major reasons for cancellation of a total of 310 cases were lack of operating time (65.2%), emergency surgery during the elective list (13.9%), and preoperative lack of fitness (11.3%). Among all the lists, 43.6% started late and 63.6% of lists finished well before the scheduled closing time. Absence of monitoring equipment and non-availability of additional qualified anaesthetists necessitated induction of anaesthesia in the main operating room and accounted for 11% of the total operating time. CONCLUSION: Delay in starting lists, under-scheduling, interruption due to emergency surgeries, administrative reasons, induction of anaesthesia and recovery policies are the main factors that account for inefficient use of operating facilities. The correction of these factors would increase the available operating time by nearly 20%.","","","","eng","","","","","","","",""
